"Compound","Compound ID","Accepted?","Adducts","Formula","Score","Fragmentation Score","Mass Error (ppm)","Isotope Similarity","Theoretical Isotope Distribution","Link","Description","Neutral mass (Da)","m/z","Charge","Retention time (min)","Max Fold Change"
"8.72_294.1826n","CSID3105",,"M-H, 2M-H, M+Cl","C17H26O4","50.7","65.9","-1.70044471607099","89.6600587750535","100 - 18.8 - 2.5 - 0.248","http://nonlinear.com/redirect/outbound?p=chemspider&param=3105","Embelin","294.182604757894","293.175328325894","1","8.71561666666667","8.55560508844"
"8.72_294.1826n","CSID390833",,"M-H, 2M-H, M+Cl","C17H26O4","41.3","18.7","-1.70044471607099","89.6600587750535","100 - 18.8 - 2.5 - 0.248","http://nonlinear.com/redirect/outbound?p=chemspider&param=390833","2-[(3aR,5aS,8R,9aR)-3a,5a-Dimethyl-5,5a,6,7,8,9-hexahydro-3aH-furo[3,2-c][2]benzofuran-8-yl]-2-propanyl acetate","294.182604757894","293.175328325894","1","8.71561666666667","8.55560508844"
"8.72_294.1826n","CSID391126",,"M-H, 2M-H, M+Cl","C17H26O4","37.5","0","-1.70044471607099","89.6600587750535","100 - 18.8 - 2.5 - 0.248","http://nonlinear.com/redirect/outbound?p=chemspider&param=391126","(+)-[6]-Gingerol","294.182604757894","293.175328325894","1","8.71561666666667","8.55560508844"
"8.75_360.2503n","CSID61886",,"M+Cl, M+FA-H, M-H","C22H36O2Si","37.3","0","5.14139663610573","92.3341534819095","100 - 29.4 - 7.82 - 1.29 - 0.147","http://nonlinear.com/redirect/outbound?p=chemspider&param=61886","Silandrone","360.250296180138","395.219697480138","1","8.75085","7.07163256218581"
"0.27_426.0344n","CSID17339240",,"M+Cl, M+FA-H","C12H18CaO14","29.5","0","4.94004487397848","53.1376139504795","100 - 13.7 - 4.42 - 0.658 - 2.26 - 0.309 - 0 - 0 - 0.194","http://nonlinear.com/redirect/outbound?p=chemspider&param=17339240","Calcium (2R)-2-[(1S)-1,2-dihydroxyethyl]-4-hydroxy-5-oxo-2,5-dihydro-3-furanolate hydrate (1:2:2)","426.034361618467","471.033406509657","1","0.265","Infinity"
"0.27_270.0098n","CSID389259",,"M+Cl, M+FA-H","C9H6N2O8","34","0","-9.68983569606764","80.5448350703345","100 - 10.8 - 2.18 - 0.193","http://nonlinear.com/redirect/outbound?p=chemspider&param=389259","3-(4-Hydroxy-3,5-dinitrophenyl)-2-oxopropanoic acid","270.009804624005","304.979205924005","1","0.265","Infinity"
"0.27_270.0098n","CSID390187",,"M+Cl, M+FA-H","C7H14N2O4Se","19.7","0.399","-7.65290795438758","6.43941893556635","1.78 - 0.154 - 18.8 - 16.9 - 49.2 - 4.3 - 100 - 8.6 - 18.6 - 1.59 - 0.207","http://nonlinear.com/redirect/outbound?p=chemspider&param=390187","(2S)-2-Amino-4-{[(2R)-2-amino-2-carboxyethyl]selanyl}butanoic acid","270.009804624005","304.979205924005","1","0.265","Infinity"
"0.27_270.0098n","CSID88693",,"M+Cl, M+FA-H","C7H14N2O4Se","19.7","0.399","-7.65290795438758","6.43941893556635","1.78 - 0.154 - 18.8 - 16.9 - 49.2 - 4.3 - 100 - 8.6 - 18.6 - 1.59 - 0.207","http://nonlinear.com/redirect/outbound?p=chemspider&param=88693","2-Amino-4-[(2-amino-2-carboxyethyl)selanyl]butanoic acid","270.009804624005","304.979205924005","1","0.265","Infinity"
"0.30_306.0300n","CSID389929",,"M-H, 2M-H","C13H10N2O5S","35.2","0","-3.47060519234206","79.8989582480125","100 - 15.9 - 6.73 - 0.9 - 0.134","http://nonlinear.com/redirect/outbound?p=chemspider&param=389929","4-carboxy-4'-sulfoazobenzene","306.029973887097","611.040427201287","1","0.30025","Infinity"
"3.25_130.0621n","CSID12791",,"M-H2O-H, M-H","C6H10O3","38.1","0","-6.66976630705135","98.1151774051147","100 - 6.72 - 0.807","http://nonlinear.com/redirect/outbound?p=chemspider&param=12791","(Hydroxyethyl)methacrylate","130.062120510265","129.054899982632","1","3.2507","52.638256862561"
"3.25_130.0621n","CSID13865426",,"M-H2O-H, M-H","C6H10O3","38.1","0","-6.66976630705135","98.1151774051147","100 - 6.72 - 0.807","http://nonlinear.com/redirect/outbound?p=chemspider&param=13865426","Ethyl acetoacetate","130.062120510265","129.054899982632","1","3.2507","52.638256862561"
"3.25_130.0621n","CSID140384",,"M-H2O-H, M-H","C6H10O3","38.1","0","-6.66976630705135","98.1151774051147","100 - 6.72 - 0.807","http://nonlinear.com/redirect/outbound?p=chemspider&param=140384","2-ketocaproic acid","130.062120510265","129.054899982632","1","3.2507","52.638256862561"
"3.25_130.0621n","CSID17383",,"M-H2O-H, M-H","C6H10O3","38.1","0","-6.66976630705135","98.1151774051147","100 - 6.72 - 0.807","http://nonlinear.com/redirect/outbound?p=chemspider&param=17383","5-Oxohexanoic acid","130.062120510265","129.054899982632","1","3.2507","52.638256862561"
"3.25_130.0621n","CSID388419",,"M-H2O-H, M-H","C6H10O3","38.1","0","-6.66976630705135","98.1151774051147","100 - 6.72 - 0.807","http://nonlinear.com/redirect/outbound?p=chemspider&param=388419","(3S)-3-Methyl-2-oxopentanoic acid","130.062120510265","129.054899982632","1","3.2507","52.638256862561"
"3.25_130.0621n","CSID388488",,"M-H2O-H, M-H","C6H10O3","38.1","0","-6.66976630705135","98.1151774051147","100 - 6.72 - 0.807","http://nonlinear.com/redirect/outbound?p=chemspider&param=388488","(3R)-3-Hydroxy-4,4-dimethyldihydro-2(3H)-furanone","130.062120510265","129.054899982632","1","3.2507","52.638256862561"
"3.25_130.0621n","CSID388729",,"M-H2O-H, M-H","C6H10O3","38.1","0","-6.66976630705135","98.1151774051147","100 - 6.72 - 0.807","http://nonlinear.com/redirect/outbound?p=chemspider&param=388729","3-Oxohexanoic acid","130.062120510265","129.054899982632","1","3.2507","52.638256862561"
"3.25_130.0621n","CSID388982",,"M-H2O-H, M-H","C6H10O3","38.1","0","-6.66976630705135","98.1151774051147","100 - 6.72 - 0.807","http://nonlinear.com/redirect/outbound?p=chemspider&param=388982","7-Hydroxy-2-oxepanone","130.062120510265","129.054899982632","1","3.2507","52.638256862561"
"3.25_130.0621n","CSID389038",,"M-H2O-H, M-H","C6H10O3","38.1","0","-6.66976630705135","98.1151774051147","100 - 6.72 - 0.807","http://nonlinear.com/redirect/outbound?p=chemspider&param=389038","4-Methyl-3-oxopentanoic acid","130.062120510265","129.054899982632","1","3.2507","52.638256862561"
"3.25_130.0621n","CSID389709",,"M-H2O-H, M-H","C6H10O3","38.1","0","-6.66976630705135","98.1151774051147","100 - 6.72 - 0.807","http://nonlinear.com/redirect/outbound?p=chemspider&param=389709","(R)-3-methyl-2-oxovaleric acid","130.062120510265","129.054899982632","1","3.2507","52.638256862561"
"3.25_130.0621n","CSID389748",,"M-H2O-H, M-H","C6H10O3","38.1","0","-6.66976630705135","98.1151774051147","100 - 6.72 - 0.807","http://nonlinear.com/redirect/outbound?p=chemspider&param=389748","6-Oxohexanoic acid","130.062120510265","129.054899982632","1","3.2507","52.638256862561"
"3.25_130.0621n","CSID391345",,"M-H2O-H, M-H","C6H10O3","38.1","0","-6.66976630705135","98.1151774051147","100 - 6.72 - 0.807","http://nonlinear.com/redirect/outbound?p=chemspider&param=391345","3-Hydroxy-2-oxepanone","130.062120510265","129.054899982632","1","3.2507","52.638256862561"
"3.25_130.0621n","CSID46",,"M-H2O-H, M-H","C6H10O3","38.1","0","-6.66976630705135","98.1151774051147","100 - 6.72 - 0.807","http://nonlinear.com/redirect/outbound?p=chemspider&param=46","UNII:787T50HCIV","130.062120510265","129.054899982632","1","3.2507","52.638256862561"
