"Adducts" "Formula" "Score" "Fragmentation.Score" "Mass.Error..ppm." "Description" "m.z" "Retention.time..min." "infoRow"
"M-H2O-H" "C29H60O" 33.7 0 -3.62914124517828 "(10S)-10-Nonacosanol" 405.445035438677 5.43343333333333 2
"M+Cl" "C6H4N2O2" 39.2 0 0.782571568433353 "eniluracil" 170.996790751084 5.58168333333333 3
"M+FA-H" "C2H6O4S" 38.5 0 -0.731110165276673 "dimethylsulfate" 170.996790751084 5.58168333333333 3
"M+FA-H" "C2H6O4S" 38.5 0 -0.731110165276673 "Isethionic acid" 170.996790751084 5.58168333333333 3
"M-H2O-H" "C31H48O3" 35.7 0 -3.57974478401856 "2-Hydroxy-2-methyl-3-[(2E,7R,11R)-3,7,11,15-tetramethyl-2-hexadecen-1-yl]-2,3-dihydro-1,4-naphthalenedione" 449.340834269473 5.76518333333333 4
"M-H2O-H" "C31H48O3" 35.7 0 -3.57974478401856 "(3beta)-3-Hydroxy-24-methylenelanosta-7,9(11)-dien-21-oic acid" 449.340834269473 5.76518333333333 4
"M-H" "C31H46O2" 35.7 0 -3.73331698375267 "Reduced Vitamin K" 449.340834269473 5.76518333333333 4
"M-H2O-H" "C31H48O3" 35.7 0 -3.57974478401856 "2-Hydroxy-3-methyl-2-[(2E,7R,11R)-3,7,11,15-tetramethyl-2-hexadecen-1-yl]-2,3-dihydro-1,4-naphthalenedione" 449.340834269473 5.76518333333333 4
"M+FA-H" "C30H44" 35.9 0 -4.12420932173917 "(6E,8E,10E,12E,14E,16E,18E)-2,6,10,15,19,23-Hexamethyl-2,6,8,10,12,14,16,18,22-tetracosanonaene" 449.340834269473 5.76518333333333 4
"M-H" "C15H30S" 35.3 0 -3.76069534533687 "2-Undecyltetrahydrothiophene" 241.198630701947 7.21396666666667 5
"M+FA-H" "C28H58O" 33.4 0 8.04718625945151 "1-Octacosanol" 455.45026682763 8.18275 7
"2M-H" "C13H28" 36.4 0 3.83572573055994 "Tridecane" 367.432338795892 8.35743333333333 9
"2M-H" "C13H28" 35.6 0 7.57374200867783 "Tridecane" 367.433716023888 8.47198333333333 11
"2M-H" "C6H18N4" 38.1 0 -1.22352086086438 "Triethylenetetramine" 291.298669925139 9.2749 39
"M-H2O-H" "C35H56" 36.3 0 -0.356227440056006 "1-Methyl-4-[(2R,5E,9E,13E,17E)-6,10,14,18,22-pentamethyl-5,9,13,17,21-tricosapentaen-2-yl]-1,4-cyclohexadiene" 457.420191159639 9.30133333333333 44
"M+Cl" "C29H58O" 36.3 0 4.80261708928626 "10-Nonacosanone" 457.420191159639 9.30133333333333 44
"2M-H" "C12H26" 35.9 0 -7.47261897471386 "Dodecane" 339.397069837015 9.32623333333333 49
"M-H" "C28H48O" 35.8 0 8.1292158541774 "(3beta,24R)-Ergost-4-en-3-ol" 399.36649226633 9.22203333333333 102
"M-H" "C28H48O" 35.8 0 8.1292158541774 "4alpha-Methyl-5alpha-cholesta-7-en-3beta-ol" 399.36649226633 9.22203333333333 102
"M-H" "C28H48O" 35.8 0 8.1292158541774 "Campesterol" 399.36649226633 9.22203333333333 102
"M-H2O-H" "C28H50O2" 35.8 0 7.7928628715511 "(3alpha,5alpha,14xi,22S,24R)-Ergostane-3,22-diol" 399.36649226633 9.22203333333333 102
"M-H2O-H" "C28H50O2" 35.8 0 7.7928628715511 "(3beta,5alpha,14xi,22S,24R)-Ergostane-3,22-diol" 399.36649226633 9.22203333333333 102
"M-H2O-H" "C28H50O2" 36.5 3.53 7.7928628715511 "(3beta,5alpha,6alpha,14xi,24R)-Ergostane-3,6-diol" 399.36649226633 9.22203333333333 102
"M-H" "C28H48O" 35.8 0 8.1292158541774 "(5alpha,14xi,24R)-Ergostan-3-one" 399.36649226633 9.22203333333333 102
"M-H" "C28H48O" 35.8 0 8.1292158541774 "(3beta,4alpha)-4-Methylcholest-8-en-3-ol" 399.36649226633 9.22203333333333 102
"M-H" "C28H48O" 35.8 0 8.1292158541774 "(3beta,4alpha,9xi,14xi,17xi,20xi)-4-Methylcholest-7-en-3-ol" 399.36649226633 9.22203333333333 102
"M-H" "C28H48O" 35.8 0 8.1292158541774 "(3beta,5alpha,9beta)-14-Methyl-9,19-cyclocholestan-3-ol" 399.36649226633 9.22203333333333 102
"M-H" "C28H48O" 35.8 0 8.1292158541774 "a-Ergostenol" 399.36649226633 9.22203333333333 102
"M-H2O-H" "C19H28N2" 37.5 0 -3.59749136249125 "iprindole" 265.206386382118 7.71156666666667 135
"M+Cl" "C6H4N2O2" 39 0 1.95914884629351 "eniluracil" 170.996950797695 5.4863 136
"M+FA-H" "C2H6O4S" 38.5 0 0.539114335066135 "dimethylsulfate" 170.996950797695 5.4863 136
"M+FA-H" "C2H6O4S" 38.5 0 0.539114335066135 "Isethionic acid" 170.996950797695 5.4863 136
